python_version	relative_path	kind	byte_exact	structure_equal	metadata_equal	dtypes_equal	nan_masks_equal	values_exact	canonical_exact	differing_pixels	rms_channel_difference	max_absolute_difference	max_relative_difference	within_tolerance	status
3.13.14	lat_lon/AOD_550/MACv2-AODVIS-MAM-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODVIS-SON-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MACv2-AODVIS-SON-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MERRA2_Aerosols-AODVIS-ANN-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MERRA2_Aerosols-AODVIS-ANN-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MERRA2_Aerosols-AODVIS-DJF-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MERRA2_Aerosols-AODVIS-DJF-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MERRA2_Aerosols-AODVIS-JJA-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MERRA2_Aerosols-AODVIS-JJA-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MERRA2_Aerosols-AODVIS-MAM-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MERRA2_Aerosols-AODVIS-MAM-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MERRA2_Aerosols-AODVIS-SON-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/AOD_550/MERRA2_Aerosols-AODVIS-SON-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDO-ANN-75S75N.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDO-ANN-75S75N.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDO-DJF-75S75N.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDO-DJF-75S75N.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDO-JJA-75S75N.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDO-JJA-75S75N.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDO-MAM-75S75N.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDO-MAM-75S75N.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDO-SON-75S75N.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDO-SON-75S75N.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDOC-ANN-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDOC-ANN-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDOC-DJF-global.json	json	True	True	NA	NA	NA	True	True	NA	NA	0	0	True	PASS
3.13.14	lat_lon/CERES-EBAF-TOA-v4.1/ceres_ebaf_toa_v4.1-ALBEDOC-DJF-global.png	png	True	True	NA	NA	NA	True	NA	0	0	0	0	True	PASS
